[2023.05.23 10:29:45.930] [HTTP] /Barchart.page (Method: GET, IP: ::1)
[2023.05.23 12:03:32.451] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.454] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.456] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.457] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:32.610] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:32.638] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.641] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.644] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.645] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:32.756] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:32.776] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.778] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.780] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.781] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:32.924] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:32.935] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.936] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.939] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:32.941] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:03:38.671] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:03:38.683] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:03:38.684] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:03:38.686] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:03:38.687] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:04:16.481] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:04:16.497] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:04:16.498] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:04:16.500] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:04:16.501] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:04:17.021] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:04:17.035] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.038] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.039] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.040] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:04:17.173] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:04:17.185] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.186] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.188] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.190] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:04:17.315] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:04:17.327] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.329] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.331] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:04:17.331] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:50.219] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:50.236] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.238] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.240] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.241] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:50.392] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:50.412] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.415] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.417] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.419] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:50.545] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:50.558] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.559] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.560] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.561] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:50.701] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:50.714] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.716] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.719] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.720] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:50.854] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:50.873] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.874] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.877] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:50.878] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:51.024] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:51.038] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:51.040] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:51.041] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:51.041] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:54.525] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:54.538] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:54.540] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:54.541] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:54.542] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:05:59.157] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:05:59.172] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:05:59.173] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:05:59.174] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:05:59.175] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:06:02.118] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:06:02.131] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:06:02.133] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:06:02.136] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:06:02.137] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:06:02.848] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:06:02.860] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:06:02.862] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:06:02.863] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:06:02.864] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:06:02.997] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:06:03.009] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:06:03.011] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:06:03.012] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:06:03.013] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:06:03.157] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:06:03.172] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:06:03.173] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:06:03.174] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:06:03.175] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:12.410] [HTTP] /Visualization.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 12:11:12.412] [Error:404] /Visualization.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\${id}'/n
[2023.05.23 12:11:12.578] [HTTP] /Visualization.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 12:11:12.581] [Error:404] /Visualization.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\${id}'/n
[2023.05.23 12:11:12.779] [HTTP] /Visualization.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 12:11:12.782] [Error:404] /Visualization.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\${id}'/n
[2023.05.23 12:11:12.939] [HTTP] /Visualization.page/$%7Bid%7D (Method: GET, IP: ::1)
[2023.05.23 12:11:12.941] [Error:404] /Visualization.page/$%7Bid%7D/n Error: ENOENT: no such file or directory, stat 'C:\Users\jjy09\Desktop\metadata-team\dgcatholic\Visualization.page\${id}'/n
[2023.05.23 12:11:19.068] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:11:19.082] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:19.084] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:19.086] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:19.088] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:19.421] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:11:19.434] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:19.436] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:19.438] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:19.439] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:24.151] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:24.164] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.166] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.168] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.169] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:24.319] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:24.332] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.334] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.335] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.336] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:24.477] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:24.489] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.491] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.492] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.493] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:24.613] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:24.624] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.626] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.626] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:24.628] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:39.422] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:11:39.437] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:39.439] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:39.440] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:39.443] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:40.821] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:40.835] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:40.838] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:40.839] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:40.841] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:41.020] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:41.033] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.034] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.035] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.037] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:41.180] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:41.191] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.192] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.193] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.194] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:41.340] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:41.352] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.353] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.355] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.356] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:41.508] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:41.521] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.523] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.524] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.524] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:41.652] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:41.668] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.669] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.671] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:41.673] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:46.825] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:46.839] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:46.840] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:46.843] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:46.844] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:11:46.994] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:11:47.009] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:11:47.012] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:11:47.014] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:11:47.015] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:12:40.039] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:12:40.080] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.082] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.083] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.084] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:12:40.205] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:12:40.218] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.220] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.221] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.222] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:12:40.360] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:12:40.386] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.387] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.388] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.389] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:12:40.509] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:12:40.524] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.526] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.527] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.529] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:12:40.647] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.23 12:12:40.666] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.668] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.670] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:12:40.671] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:40.249] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:40.263] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:40.265] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:40.266] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:40.268] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:42.725] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:42.738] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:42.739] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:42.742] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:42.744] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:47.855] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:47.868] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:47.869] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:47.870] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:47.872] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:49.645] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:49.667] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:49.671] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:49.673] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:49.675] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:51.508] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:51.520] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:51.522] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:51.524] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:51.525] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:56.325] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:56.338] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:56.341] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:56.343] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:56.344] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:13:59.805] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:13:59.818] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:13:59.820] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:13:59.821] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:13:59.822] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:14:11.917] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:14:11.930] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:14:11.932] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:14:11.933] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:14:11.934] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:15:40.001] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:15:40.013] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:15:40.014] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:15:40.016] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:15:40.018] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:15:40.158] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:15:40.182] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:15:40.185] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:15:40.187] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:15:40.189] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:17:49.866] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:17:49.882] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:17:49.883] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:17:49.885] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:17:49.886] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:17:50.421] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.23 12:17:50.436] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:17:50.437] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:17:50.438] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:17:50.440] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:18:16.178] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 12:18:16.195] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:18:16.197] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:18:16.199] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:18:16.201] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:18:18.069] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 12:18:18.082] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:18:18.084] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:18:18.085] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:18:18.086] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:18:18.718] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 12:18:18.731] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:18:18.732] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.23 12:18:18.733] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.23 12:18:18.734] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.23 12:18:22.605] [HTTP] / (Method: GET, IP: ::1)
[2023.05.23 12:18:22.616] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.23 12:18:22.618] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
